AAPL,BND,EEM,GLD,JPM,SPY,TSM,XOM
37.50373077392578,64.3211898803711,33.319091796875,121.33000183105469,81.25020599365234,224.9952850341797,31.237241744995117,50.00183868408203
33.76808166503906,64.5724105834961,32.714996337890625,122.43000030517578,80.09550476074219,219.62628173828125,29.38970184326172,49.23412322998047
35.20961380004883,64.37791442871094,33.770042419433594,121.44000244140625,83.04823303222656,226.9828338623047,29.911457061767578,51.04936981201172
35.131248474121094,64.28067779541016,33.84661865234375,121.86000061035156,83.10601043701172,228.77256774902344,30.13385009765625,51.314857482910156
35.800960540771484,64.19963836669922,33.974246978759766,121.52999877929688,82.94927215576172,230.9219207763672,29.88580322265625,51.68794250488281
36.408912658691406,64.28874969482422,34.578346252441406,122.30999755859375,82.80905151367188,232.0011749267578,30.458885192871094,51.96059036254883
36.52528762817383,64.15914154052734,34.825096130371094,121.58999633789062,82.80078887939453,232.81951904296875,31.15171241760254,51.69511795043945
36.16667556762695,64.28874969482422,34.6549186706543,121.80000305175781,82.40491485595703,232.90945434570312,31.31422996520996,51.45832824707031
35.62283706665039,64.23204040527344,34.365631103515625,122.08999633789062,83.25444793701172,231.4884796142578,30.587181091308594,51.393768310546875
36.3519287109375,64.24015045166016,34.6038703918457,121.87999725341797,83.86478424072266,234.14158630371094,30.826677322387695,51.422462463378906
36.7960205078125,64.26444244384766,35.02928924560547,122.2699966430664,84.5411376953125,234.7081756591797,30.484542846679688,51.40093994140625
37.01451110839844,64.1915283203125,35.18244552612305,122.11000061035156,84.88755798339844,236.48878479003906,31.04052734375,51.75251007080078
37.242496490478516,64.1429443359375,35.35261154174805,121.0199966430664,86.26493072509766,239.63650512695312,31.510957717895508,52.36955642700195
36.40654373168945,64.25634002685547,34.7400016784668,121.44999694824219,84.90401458740234,236.3988800048828,31.10894203186035,51.580322265625
36.55378723144531,64.3211898803711,35.09736251831055,121.27999877929688,84.68958282470703,236.89353942871094,31.211585998535156,51.157005310058594
36.2640495300293,64.45896911621094,35.43769454956055,121.08999633789062,84.73907470703125,237.01937866210938,32.19522476196289,51.22874069213867
37.465721130371094,64.38601684570312,35.90566635131836,122.86000061035156,85.27519226074219,239.02490234375,32.62290573120117,51.45832824707031
37.11900329589844,64.41039276123047,35.531280517578125,123.29000091552734,85.6793441772461,237.20831298828125,32.024166107177734,51.113948822021484
36.7342643737793,64.54002380371094,35.59085464477539,123.9800033569336,85.91853332519531,236.89353942871094,31.074739456176758,51.30766296386719
39.24449920654297,64.60482025146484,36.36511993408203,124.69000244140625,86.11648559570312,240.64373779296875,31.972837448120117,51.867313385009766
